,County,ID
882,Leslie,1
883,Levy,362
884,Lewis,600
885,Lewis And Clark,4
886,Lewis and Clark,849
887,Lexington,6018
888,Liberty,213
889,Licking,140
890,Limestone,383
891,Lincoln,3393
892,Linn,5287
893,Litchfield,498
894,Little River,6
895,Live Oak,1
896,Livingston,1166
897,Logan,215
898,Long,10
899,Lonoke,414
900,Lorain,229
901,Los Alamos,1
902,Los Angeles,234122
903,Loudon,237
904,Loudoun,3099
905,Louisa,474
906,Love,13
907,Lowndes,371
908,Lubbock,8
909,Lucas,760
910,Luce,3
911,Lumpkin,7
912,Luna,70
913,Lunenburg,56
914,Luzerne,735
915,Lycoming,1723
916,Lyman,1
917,Lynchburg,72
918,Lynchburg City,9
919,Lyon,701
920,Mackinac,25
921,Macomb,2244
922,Macon,236
923,Macon-Bibb County,294
924,Macoupin,10
925,Madera,4869
926,Madison,3938
927,Magoffin,4
928,Mahaska,56
929,Mahnomen,74
930,Mahoning,154
931,Malheur,3011
932,Manassas,170
933,Manassas City,5
934,Manassas Park,15
935,Manatee,9367
936,Manistee,9
937,Manitowoc,30
938,Marathon,81
939,Marengo,14
940,Maricopa,33539
941,Maries,5
942,Marin,5493
943,Marinette,25
944,Marion,22437
945,Mariposa,764
946,Marlboro,509
947,Marquette,34
948,Marshall,281
949,Martin,1923
950,Martinsville,4
951,Martinsville City,2
952,Mason,389
953,Massac,12
954,Matagorda,1
955,Mathews,41
956,Maury,103
957,Maverick,2
958,Mayes,1
959,McClain,50
960,McCone,19
961,McCook,4
962,McCormick,94
963,McCracken,28
964,McCurtain,1
965,McDonald,6
966,McDonough,2
967,McDowell,276
968,McDuffie,57
969,McHenry,234
970,McIntosh,90
971,McKean,609
972,McKenzie,117
973,McKinley,141
974,McLean,58
975,McLennan,144
976,McLeod,573
977,McMinn,236
978,McPherson,2
979,Mcclain,3
980,Mccormick,3
981,Mccracken,2
982,Mcduffie,1
983,Mchenry,69
984,Mcintosh,2
985,Mckean,16
986,Mclennan,3
987,Mcleod,5
988,Mcminn,1
989,Meade,9
990,Meagher,34
991,Mecklenburg,35191
992,Mecosta,15
993,Medina,160
994,Meeker,436
995,Meigs,26
996,Mellette,1
997,Menard,5
998,Mendocino,3720
999,Menifee,1
1000,Menominee,12
1001,Merced,6482
1002,Mercer,3078
1003,Meriwether,104
1004,Merrick,1
1005,Merrimack,874
1006,Mesa,239
1007,Metcalfe,4
1008,Miami,140
1009,Miami-Dade,143939
1010,Middlesex,8956
1011,Midland,153
1012,Mifflin,633
1013,Milam,13
1014,Millard,702
1015,Mille Lacs,592
1016,Miller,142
1017,Mills,64
1018,Milwaukee,2802
1019,Mineral,827
1020,Mingo,9
1021,Minidoka,48
1022,Minnehaha,105
1023,Mississippi,156
1024,Missoula,1371
1025,Mitchell,66
1026,Mobile,1939
1027,Modoc,432
1028,Moffat,21
1029,Mohave,1262
1030,Moniteau,6
1031,Monmouth,2358
1032,Mono,952
1033,Monona,50
1034,Monongalia,296
1035,Monroe,13231
1036,Montague,13
1037,Montcalm,29
1038,Monterey,8576
1039,Montezuma,59
1040,Montgomery,41476
1041,Montmorency,1
1042,Montour,244
1043,Montrose,16
1044,Moore,108
1045,Mora,22
1046,Morehouse,1
1047,Morgan,1267
1048,Morrill,6
1049,Morris,2109
1050,Morrison,678
1051,Morrow,904
1052,Morton,200
1053,Mountrail,33
1054,Mower,460
1055,Multnomah,19303
1056,Murray,214
1057,Muscatine,22
1058,Muscogee,237
1059,Muskegon,188
1060,Muskingum,58
1061,Muskogee,2
1062,Musselshell,57
1063,Nacogdoches,9
1064,Napa,3212
1065,Nash,358
1066,Nassau,7029
1067,Natchitoches,5
1068,Natrona,44
1069,Navajo,511
1070,Navarro,18
1071,Nelson,223
